USAGE_DATE,RPT_NM,ADJ_CCF,USAGE_THERM,CUST_COUNT,LATEST_UPDATE
1/19/2021,AMI_NONRES_EXCL_CAT,413191.118,422132.749,32647,4/14/2021
1/18/2021,AMI_RES_INCL_CAT,4672.829,4772.853,1342,4/14/2021
1/18/2021,AMI_RES_EXCL_CAT,949233.72,969005.127,867631,4/14/2021
1/18/2021,AMI_NONRES_INCL_CAT,103590.128,105795.137,1392,4/14/2021
1/18/2021,AMI_NONRES_EXCL_CAT,374795.764,382937.113,32639,4/14/2021
1/17/2021,AMI_RES_INCL_CAT,4367.987,4461.343,1342,4/14/2021
1/17/2021,AMI_RES_EXCL_CAT,864033.756,881992.149,867429,4/14/2021
1/17/2021,AMI_NONRES_INCL_CAT,85378.954,87214.377,1393,4/14/2021
1/17/2021,AMI_NONRES_EXCL_CAT,299453.456,306010.673,32612,4/14/2021
1/16/2021,AMI_RES_INCL_CAT,4417.816,4512.101,1337,4/14/2021
1/16/2021,AMI_RES_EXCL_CAT,865554.001,883584.237,867212,4/14/2021
1/16/2021,AMI_NONRES_INCL_CAT,97019.158,99092.007,1393,4/14/2021
1/16/2021,AMI_NONRES_EXCL_CAT,335723.05,343039.88,32608,4/14/2021
1/15/2021,AMI_RES_INCL_CAT,4166.448,4255.481,1340,4/14/2021
1/15/2021,AMI_RES_EXCL_CAT,796298.081,812882.199,866786,4/14/2021
1/15/2021,AMI_NONRES_INCL_CAT,108606.588,110906.802,1385,4/14/2021
1/15/2021,AMI_NONRES_EXCL_CAT,369309.477,377321.224,32523,4/14/2021
1/14/2021,AMI_RES_INCL_CAT,4705.072,4805.655,1343,4/14/2021
1/14/2021,AMI_RES_EXCL_CAT,1030549.493,1052024.655,867687,4/14/2021
1/14/2021,AMI_NONRES_INCL_CAT,119243.865,121767.613,1398,4/14/2021
1/14/2021,AMI_NONRES_EXCL_CAT,408913.811,417802.618,32626,4/14/2021
1/13/2021,AMI_RES_INCL_CAT,5057.631,5165.75,1341,4/14/2021
1/13/2021,AMI_RES_EXCL_CAT,1266984.037,1293333.067,867089,4/14/2021
1/13/2021,AMI_NONRES_INCL_CAT,125168.115,127857.857,1392,4/14/2021
1/13/2021,AMI_NONRES_EXCL_CAT,454991.954,464886.486,32588,4/14/2021
1/12/2021,AMI_RES_INCL_CAT,5221.613,5332.777,1345,4/14/2021
1/12/2021,AMI_RES_EXCL_CAT,1317045.384,1344414.856,866871,4/14/2021
1/12/2021,AMI_NONRES_INCL_CAT,128267.354,130989.667,1396,4/14/2021
1/12/2021,AMI_NONRES_EXCL_CAT,463749.221,473821.488,32607,4/14/2021
1/11/2021,AMI_RES_INCL_CAT,5506.628,5623.722,1346,4/14/2021
1/11/2021,AMI_RES_EXCL_CAT,1415540.746,1444943.696,867349,4/14/2021
